KW-1 ablaze
KW-1524 backup has arrived
KW-1525 because nothing else
KW-1526 because they're kind
KW-1527 bit smoky making
KW-1528 bit worried about
KW-1529 blaze pop up
KW-1530 boom boom gone
KW-1531 boop boop boop
KW-1532 can't hear anything
KW-1533 can't quite hear
KW-1534 can't support your
KW-1535 can't tell exactly
KW-1536 cat has been
KW-1537 chain reaction happening
KW-1538 collapsing all around
KW-1539 cool backup has
KW-1540 could easily tackle
KW-1541 could finish knocking
KW-1542 currently being affected
KW-1543 damaged too many
KW-1544 don't know if
KW-1545 don't know why
KW-1546 enough walls broken
KW-1547 even crazier than
KW-1548 fight these fires
KW-1549 first things first
KW-1550 full collapse before
KW-1551 gentleman very fancy
KW-1552 gets broken as
KW-1553 getting pretty fiery
KW-1554 god they could
KW-1555 good piano player
KW-1556 had several explosions
KW-1557 has been smashed
KW-1558 has had several
KW-1559 he gets blown
KW-1560 he ran away
KW-1561 her hand hello
KW-1562 high pressure tense
KW-1563 hop hop him
KW-1564 how they keep
KW-1565 human being underneath
KW-1566 inner support walls
KW-1567 interesting how they
KW-1568 interesting questions about
KW-1569 keeping their meth
KW-1570 know if they're
KW-1571 know low hanging
KW-1572 least moderately useful
KW-1573 little pink floral
KW-1574 little too personal
KW-1575 looking pretty bad
KW-1576 low hanging fruit
KW-1577 m may need
KW-1578 might actually head
KW-1579 need our third
KW-1580 only really given
KW-1581 places make knock
KW-1582 places plus also
KW-1583 pretty bad isn't
KW-1584 pretty much catching
KW-1585 pretty sensitive situation
KW-1586 pretty smoky too
KW-1587 ran away crap
KW-1588 real hep cat
KW-1589 really spreading from
KW-1590 room's getting smoky
KW-1591 room's looking pretty
KW-1592 same thing excellent
KW-1593 same tile does
KW-1594 seeing who's who's
KW-1595 seems still seems
KW-1596 seventy percent engulfed
KW-1597 several explosions which
KW-1598 should make our
KW-1599 smelling something burning
KW-1600 start swinging away
KW-1601 still haven't gotten
KW-1602 still seems fine
KW-1603 suggestion yellow maybe
KW-1604 taken her hand
KW-1605 taking twin number
KW-1606 thank god they
KW-1607 they keep popping
KW-1608 they're under us
KW-1609 those places plus
KW-1610 tile without being
KW-1611 time i'll still
KW-1612 too far from
KW-1613 too many holes
KW-1614 too much danger
KW-1615 too surprised by
KW-1616 toxic little area
KW-1617 us whoever gets
KW-1618 very serious situation
KW-1619 very very close
KW-1620 walls collapsing all
KW-1621 want backup dude
KW-1622 where they're keeping
KW-1623 which has resulted
KW-1624 while because they're
KW-1625 while they aren't
KW-1626 why don't they
KW-1627 yellow tank top
KW-1628 young girl appears
KW-1629 your rescue underway
KW-1630 almost seventy-five percent engulfed
KW-1631 bedroom's pretty smoky too
KW-1632 boop boop boop boop
KW-1633 can't support your weight
KW-1634 cat has been saved
KW-1635 doesn't seem too concerning
KW-1636 don't know if they're
KW-1637 explosions which has resulted
KW-1638 interesting how they keep
KW-1639 know low hanging fruit
KW-1640 little bit smoky making
KW-1641 looking pretty bad isn't
KW-1642 new blaze pop up
KW-1643 peace good piano player
KW-1644 quick boom boom gone
KW-1645 raises interesting questions about
KW-1646 really quick boom boom
KW-1647 room's looking pretty bad
KW-1648 somebody very very close
KW-1649 they keep popping up
KW-1650 they're keeping their meth
KW-1651 walls collapsing all around
