KW-1 ablaze
KW-1519 nowhere near
KW-1520 officer green
KW-1521 okey dokey
KW-1522 old adage
KW-1523 once again
KW-1524 one block
KW-1525 one piece
KW-1526 one tile
KW-1527 only fifteen
KW-1528 only really
KW-1529 only takes
KW-1530 ontological questions
KW-1531 oof man
KW-1532 open doors
KW-1533 other side
KW-1534 other thing
KW-1535 other victim
KW-1536 our e
KW-1537 our fires
KW-1538 our last
KW-1539 our plan
KW-1540 our third
KW-1541 our twin
KW-1542 outer wall
KW-1543 partial breach
KW-1544 partially breached
KW-1545 peace good
KW-1546 per block
KW-1547 per usual
KW-1548 percent engulfed
KW-1549 person's dead
KW-1550 person's safe
KW-1551 pet has
KW-1552 piano player
KW-1553 pink floral
KW-1554 places make
KW-1555 places plus
KW-1556 plus also
KW-1557 pop up
KW-1558 popped up
KW-1559 popping up
KW-1560 possible hopefully
KW-1561 possible situation
KW-1562 possible victims
KW-1563 potential victim
KW-1564 potential victims
KW-1565 potentially injured
KW-1566 potentially someone
KW-1567 power points
KW-1568 pressure tense
KW-1569 pretty bad
KW-1570 pretty clear
KW-1571 pretty dangerous
KW-1572 pretty fiery
KW-1573 pretty hairy
KW-1574 pretty much
KW-1575 pretty rough
KW-1576 pretty scary
KW-1577 pretty sensitive
KW-1578 pretty smoky
KW-1579 pretty unstable
KW-1580 probably before
KW-1581 probably spread
KW-1582 process carrying
KW-1583 prove useful
KW-1584 pull-out strength
KW-1585 puppy's safe
KW-1586 putting water
KW-1587 question mark
KW-1588 questions about
KW-1589 quick boom
KW-1590 quickest way
KW-1591 quickly assess
KW-1592 quite hear
KW-1593 quite yet
KW-1594 raises interesting
KW-1595 ran away
KW-1596 reach any
KW-1597 reaction happening
KW-1598 real bad
KW-1599 real fast
KW-1600 real hep
KW-1601 real quick
KW-1602 really bad
KW-1603 really close
KW-1604 really convenient
KW-1605 really disorienting
KW-1606 really given
KW-1607 really help
KW-1608 really hot
KW-1609 really nice
KW-1610 really quick
KW-1611 really smokes
KW-1612 really smoky
KW-1613 really spreading
KW-1614 recovering from
KW-1615 red firefighter's
KW-1616 red shirted
KW-1617 relatively safe
KW-1618 remaining points
KW-1619 remember correctly
KW-1620 repeat chief
KW-1621 reputation precedes
KW-1622 rescue her
KW-1623 rescue underway
KW-1624 rescued somebody
KW-1625 returning back
KW-1626 right beside
KW-1627 roger thank
KW-1628 room's getting
KW-1629 room's looking
KW-1630 round let
KW-1631 run around
KW-1632 run inside
KW-1633 run toward
KW-1634 running back
KW-1635 running forward
KW-1636 running toward
KW-1637 safely outside
KW-1638 said earlier
KW-1639 sally fields
KW-1640 same corner
KW-1641 same thing
KW-1642 same tile
KW-1643 sarah somers
KW-1644 save first
KW-1645 save these
KW-1646 save yourself
KW-1647 saved checking
KW-1648 saved someone
KW-1649 saving lives
KW-1650 saving people
KW-1651 say maybe
KW-1652 saying anything
KW-1653 scattered fires
KW-1654 scattered throughout
KW-1655 secondary explosion
KW-1656 seconds left
KW-1657 see something
KW-1658 see who's
KW-1659 seeing who's
KW-1660 seem like
KW-1661 seem too
KW-1662 seems fine
KW-1663 seems like
KW-1664 seems still
KW-1665 sensitive situation
KW-1666 serious damage
KW-1667 serious situation
KW-1668 seventy percent
KW-1669 seventy-five percent
KW-1670 several explosions
KW-1671 severely damaged
KW-1672 shape as
KW-1673 shared between
KW-1674 she's safe
KW-1675 shirted caucasian
KW-1676 shirted female
KW-1677 shit show
KW-1678 shock wave
KW-1679 shored up
KW-1680 short little
KW-1681 shortest distance
KW-1682 should make
KW-1683 should start
KW-1684 should work
KW-1685 showing up
KW-1686 sign finding
KW-1687 since things
KW-1688 since you're
KW-1689 situation coming
KW-1690 sized holes
KW-1691 slow moving
KW-1692 small amount
KW-1693 small bathroom
KW-1694 smell something
KW-1695 smelling something
KW-1696 smoke accumulating
KW-1697 smoke appearing
KW-1698 smoke filling
KW-1699 smoke growing
KW-1700 smoke inhalation
KW-1701 smokes around
KW-1702 smokes nearby
KW-1703 smoky area
KW-1704 smoky making
KW-1705 smoky too
KW-1706 solid anymore
KW-1707 somebody ahead
KW-1708 somebody else
KW-1709 somebody unconscious
KW-1710 somebody very
KW-1711 someone else
KW-1712 something burning
KW-1713 something else
KW-1714 something new
KW-1715 something you're
KW-1716 somewhere along
KW-1717 sorry about
KW-1718 sorry repeat
KW-1719 sound effect
KW-1720 south end
KW-1721 south side
KW-1722 speak louder
KW-1723 spending another
KW-1724 spoke too
KW-1725 spread orange
KW-1726 spread throughout
KW-1727 spread too
KW-1728 spreading from
KW-1729 spreading rapidly
KW-1730 start blasting
KW-1731 start blowing
KW-1732 start repairing
KW-1733 start swinging
KW-1734 start tackling
KW-1735 start walking
KW-1736 status report
KW-1737 status update
KW-1738 stay safe
KW-1739 stays stable
KW-1740 step closer
KW-1741 step forward
KW-1742 stepping forward
KW-1743 still haven't
KW-1744 still need
KW-1745 still raining
KW-1746 still saving
KW-1747 still seems
KW-1748 straight line
KW-1749 strategy might
KW-1750 strict codes
KW-1751 structural integrity
KW-1752 structural problems
KW-1753 suggestion yellow
KW-1754 support walls
KW-1755 support your
KW-1756 surprised by
KW-1757 surrounded by
KW-1758 swinging away
KW-1759 switched roles
KW-1760 take care
KW-1761 taken care
KW-1762 taken her
KW-1763 takes care
KW-1764 taking care
KW-1765 taking todd
KW-1766 taking twin
KW-1767 talk about
KW-1768 tank top
KW-1769 tarzan's jane
KW-1770 teenage girl
KW-1771 tell exactly
KW-1772 tell she's
KW-1773 terrible idea
KW-1774 thank god
KW-1775 thank goodness
KW-1776 thanks bud
KW-1777 thanks chief
KW-1778 thanks control
KW-1779 thanks red
KW-1780 their meth
KW-1781 these extra
KW-1782 these fires
KW-1783 these people
KW-1784 these victims
KW-1785 these walls
KW-1786 they aren't
KW-1787 they can't
KW-1788 they could
KW-1789 they keep
KW-1790 they were
KW-1791 they're dead
KW-1792 they're keeping
KW-1793 they're kind
KW-1794 they're looking
KW-1795 they're under
KW-1796 thing excellent
KW-1797 things first
KW-1798 things getting
KW-1799 things happening
KW-1800 think maybe
KW-1801 those places
KW-1802 tile does
KW-1803 tile without
KW-1804 time i'll
KW-1805 time limit
KW-1806 time rolling
KW-1807 timely fashion
KW-1808 tiny bit
KW-1809 token down
KW-1810 too bad
KW-1811 too concerned
KW-1812 too concerning
KW-1813 too far
KW-1814 too many
KW-1815 too much
KW-1816 too personal
KW-1817 too soon
KW-1818 too surprised
KW-1819 took your
KW-1820 totally covered
KW-1821 tough break
KW-1822 toxic little
KW-1823 track record
KW-1824 trouble hearing
KW-1825 troubling because
KW-1826 true alright
KW-1827 turned additional
KW-1828 twin number
KW-1829 two spots
KW-1830 two tokens
KW-1831 two victim's
KW-1832 unconscious female
KW-1833 unconscious male
KW-1834 under containment
KW-1835 under control
KW-1836 under us
KW-1837 unfortunately has
KW-1838 up again
KW-1839 up from
KW-1840 update though
KW-1841 us whoever
KW-1842 used up
KW-1843 using all
KW-1844 using another
KW-1845 very close
KW-1846 very fancy
KW-1847 very generous
KW-1848 very much
KW-1849 very serious
KW-1850 very very
KW-1851 victim's located
KW-1852 victim's safe
KW-1853 video too
KW-1854 wait how
KW-1855 wait let
KW-1856 wait sorry
KW-1857 walk around
KW-1858 walking forward
KW-1859 wall's blown
KW-1860 wall's coming
KW-1861 walls blown
KW-1862 walls broken
KW-1863 walls collapsing
KW-1864 walls they
KW-1865 want backup
KW-1866 wasn't sure
KW-1867 way toward
KW-1868 we'll address
KW-1869 well actually
KW-1870 well done
KW-1871 well hold
KW-1872 well let
KW-1873 were doing
KW-1874 whatever firefighters
KW-1875 when you're
KW-1876 where they're
KW-1877 which has
KW-1878 while because
KW-1879 while they
KW-1880 white caucasian
KW-1881 white house
KW-1882 who let
KW-1883 who's who's
KW-1884 whoever gets
KW-1885 whole bunch
KW-1886 whole living
KW-1887 whole north
KW-1888 whole side
KW-1889 whole team
KW-1890 why don't
KW-1891 wide open
KW-1892 wish against
KW-1893 wish wish
KW-1894 without being
KW-1895 woman outside
KW-1896 won't spread
KW-1897 wood flooring
KW-1898 worried about
KW-1899 worse situation
KW-1900 worth taking
KW-1901 would rescue
KW-1902 would say
KW-1903 would take
KW-1904 would work
KW-1905 wrap around
KW-1906 yeah things
KW-1907 yellow maybe
KW-1908 yellow tank
KW-1909 yes ma'am
KW-1910 you're already
KW-1911 you're interested
KW-1912 you're near
KW-1913 you're very
KW-1914 you're welcome
KW-1915 youch papa
KW-1916 young boy
KW-1917 young girl
KW-1918 young human
KW-1919 young lad
KW-1920 young lady
KW-1921 young male
KW-1922 young man
KW-1923 young woman
KW-1924 youngish woman
KW-1925 your area
KW-1926 your end
KW-1927 your plan
KW-1928 your rescue
KW-1929 your save
KW-1930 your weight
KW-1931 yup yup
KW-1932 about your plan
KW-1933 action points remaining
KW-1934 action points take
KW-1935 actions left hang
KW-1936 adjacent tile without
KW-1937 advised red firefighter
KW-1938 aerial view especially
KW-1939 african american male
KW-1940 again raises interesting
KW-1941 all around us
KW-1942 almost completely filled
KW-1943 almost completely full
KW-1944 almost entirely engulfed
KW-1945 almost seventy-five percent
KW-1946 already anyways if
KW-1947 already mostly engulfed
KW-1948 already took your
KW-1949 alright danger blue
KW-1950 also completely taken
KW-1951 america's national treasure
KW-1952 another life saved
KW-1953 another person rescued
KW-1954 any actions left
KW-1955 any false alarms
KW-1956 any possible victims
KW-1957 as fast as
KW-1958 away red firefighter
KW-1959 axing reputation precedes
KW-1960 backup has arrived
KW-1961 bad luck today
KW-1962 bad news bears
KW-1963 barack's brother ben
KW-1964 because nothing else
KW-1965 because they're kind
KW-1966 bedroom let's see
KW-1967 bet everybody says
KW-1968 bit smoky making
KW-1969 bit troubling because
KW-1970 bit worried about
KW-1971 blaze pop up
KW-1972 blonde haired boy
KW-1973 blowing open doors
KW-1974 blown wide open
KW-1975 blue firefighter taking
KW-1976 boom boom gone
KW-1977 boop boop boop
KW-1978 bravo black romeo
KW-1979 brother ben obama
KW-1980 can't hear anything
KW-1981 can't leave yet
KW-1982 can't quite get
KW-1983 can't quite hear
KW-1984 can't quite make
KW-1985 can't support your
KW-1986 can't tell exactly
KW-1987 cannot reach any
KW-1988 carbon monoxide poisoning
KW-1989 cat has been
KW-1990 caucasian male child
KW-1991 causes another explosion
KW-1992 ceiling tile's caving
KW-1993 chain reaction happening
KW-1994 chief how much
KW-1995 coffee pot barking
KW-1996 collapsing all around
KW-1997 condition coming up
KW-1998 conflagration truly spectacular
KW-1999 cool backup has
KW-2000 coordinates completely engulfed
KW-2001 could easily tackle
KW-2002 could finish knocking
KW-2003 currently being affected
KW-2004 damaged too many
KW-2005 danger blue checking
KW-2006 death wish against
KW-2007 deep frying turkey
KW-2008 doesn't cost anything
KW-2009 doesn't explode again
KW-2010 don't know if
KW-2011 don't know why
KW-2012 door gets blown
KW-2013 door's already open
KW-2014 downed electrical wire
KW-2015 enough walls broken
KW-2016 entire living room
KW-2017 even crazier than
KW-2018 excellent well done
KW-2019 explosion bad news
KW-2020 exterior wall damage
KW-2021 false alarm alright
KW-2022 false alarm false
KW-2023 false alarm yeah
KW-2024 field's sister judy
KW-2025 fifteen seconds left
KW-2026 fight these fires
KW-2027 fire fighter entering
KW-2028 fire sign finding
KW-2029 fire's spreading okay
KW-2030 firefighting slang yesterday
KW-2031 first things first
KW-2032 five looks like
KW-2033 five next time
KW-2034 found has been
KW-2035 four looks like
KW-2036 four three four
KW-2037 fucking jet engine
KW-2038 full breach towards
KW-2039 full collapse before
KW-2040 general direction putting
KW-2041 gentleman very fancy
KW-2042 get back inside
KW-2043 gets broken as
KW-2044 getting pretty fiery
KW-2045 getting pretty hot
KW-2046 getting pretty smoky
KW-2047 getting really smoky
KW-2048 getting these people
KW-2049 getting under containment
KW-2050 god they could
KW-2051 goes bravo eight
KW-2052 going back inside
KW-2053 going right back
KW-2054 good piano player
KW-2055 goodness thank goodness
KW-2056 got blown open
KW-2057 guy has become
KW-2058 had several explosions
KW-2059 has been smashed
KW-2060 has been under
KW-2061 has had several
KW-2062 hasn't been any
KW-2063 he gets blown
KW-2064 he ran away
KW-2065 head back towards
KW-2066 heading towards romeo
KW-2067 her hand hello
KW-2068 high pressure tense
KW-2069 holding onto two
KW-2070 hole blown open
KW-2071 honestly would rescue
KW-2072 hop hop him
KW-2073 hopefully isn't causing
KW-2074 how they keep
KW-2075 huge conflagration truly
KW-2076 human being underneath
KW-2077 inner support walls
KW-2078 interest false alarm
KW-2079 interest last time
KW-2080 interest possible person
KW-2081 interest real quick
KW-2082 interesting how they
KW-2083 interesting questions about
KW-2084 jesus christ alright
KW-2085 keeping their meth
KW-2086 keeps showing up
KW-2087 kid's bedroom great
KW-2088 kid's bedroom still
KW-2089 kid's bedroom's completely
KW-2090 kitchen's completely engulfed
KW-2091 know if they're
KW-2092 know low hanging
KW-2093 last action marker
KW-2094 last point rolling
KW-2095 lava lamp burned
KW-2096 least moderately useful
KW-2097 leftover ham continue
KW-2098 little bit better
KW-2099 little bit closer
KW-2100 little bit safe
KW-2101 little pink floral
KW-2102 little too personal
KW-2103 little worse situation
KW-2104 living room seems
KW-2105 looking good either
KW-2106 looking pretty bad
KW-2107 looking pretty rough
KW-2108 looking really bad
KW-2109 looking they're looking
KW-2110 looks like nothing's
KW-2111 low hanging fruit
KW-2112 low lung health
KW-2113 m may need
KW-2114 mad roller today
KW-2115 makes sense alright
KW-2116 master bath checking
KW-2117 master bath master
KW-2118 master bath working
KW-2119 master bathroom wall
KW-2120 michelle michelle's sister
KW-2121 michelle's sister molly
KW-2122 might actually head
KW-2123 mind never mind
KW-2124 mm hm hm
KW-2125 move one tile
KW-2126 move one unit
KW-2127 names tarzan's jane
KW-2128 need our third
KW-2129 never mind never
KW-2130 never mind yeah
KW-2131 new potential victim
KW-2132 new smoke found
KW-2133 new smoke rather
KW-2134 next turn hopefully
KW-2135 next turn let
KW-2136 next turn let's
KW-2137 okay fair enough
KW-2138 okay looks like
KW-2139 old adage roger
KW-2140 one false alarm
KW-2141 one space closer
KW-2142 only fifteen seconds
KW-2143 only really given
KW-2144 oof man down
KW-2145 orange firefighter entering
KW-2146 orange firefighter reentering
KW-2147 per block okay
KW-2148 pet has been
KW-2149 places make knock
KW-2150 places plus also
KW-2151 possible hopefully extinguishing
KW-2152 potential victim potential
KW-2153 pretty bad isn't
KW-2154 pretty much catching
KW-2155 pretty much engulfed
KW-2156 pretty sensitive situation
KW-2157 pretty smoky too
KW-2158 ran away crap
KW-2159 real fast alright
KW-2160 real hep cat
KW-2161 really smokes nearby
KW-2162 really spreading from
KW-2163 red firefighter's going
KW-2164 red shirted female
KW-2165 repeat bravo eight
KW-2166 repeat false alarm
KW-2167 roger moving towards
KW-2168 romeo four great
KW-2169 romeo six nope
KW-2170 room door blown
KW-2171 room start putting
KW-2172 room working towards
KW-2173 room's getting kind
KW-2174 room's getting smoky
KW-2175 room's looking pretty
KW-2176 running back toward
KW-2177 same thing excellent
KW-2178 same tile does
KW-2179 saved three people
KW-2180 seeing fire sign
KW-2181 seeing who's who's
KW-2182 seems still seems
KW-2183 seventy percent engulfed
KW-2184 several explosions which
KW-2185 short little while
KW-2186 should make our
KW-2187 sign finding fire
KW-2188 since you're near
KW-2189 sister twin sisters
KW-2190 six little bit
KW-2191 small bathroom copy
KW-2192 small bathroom door
KW-2193 small bathroom full
KW-2194 small bedroom small
KW-2195 smelling something burning
KW-2196 smoke next time
KW-2197 smoke right behind
KW-2198 smoke right near
KW-2199 something else happening
KW-2200 something you're interested
KW-2201 sounds good copy
KW-2202 sounds good okay
KW-2203 spend one spend
KW-2204 spending another point
KW-2205 spoke too soon
KW-2206 spreads bravo eight
KW-2207 start swinging away
KW-2208 stepping forward removing
KW-2209 still haven't gotten
KW-2210 still seems fine
KW-2211 structural damage betwixt
KW-2212 suggestion yellow maybe
KW-2213 suzanne somers' sister
KW-2214 taken her hand
KW-2215 taking twin number
KW-2216 talk about your
KW-2217 thank god they
KW-2218 thanks thanks red
KW-2219 these walls they
KW-2220 they keep popping
KW-2221 they're under us
KW-2222 those places plus
KW-2223 three four almost
KW-2224 three looks like
KW-2225 three points left
KW-2226 tile without being
KW-2227 time i'll still
KW-2228 too far from
KW-2229 too many holes
KW-2230 too much danger
KW-2231 too surprised by
KW-2232 toxic little area
KW-2233 turn green guy
KW-2234 turn let's see
KW-2235 two action tokens
KW-2236 two moves left
KW-2237 two points remaining
KW-2238 two potential victims
KW-2239 unfortunately has taken
KW-2240 update bravo seven
KW-2241 us whoever gets
KW-2242 use four points
KW-2243 using another action
KW-2244 very serious situation
KW-2245 very very close
KW-2246 victim potential victim
KW-2247 video too much
KW-2248 wait never mind
KW-2249 walls collapsing all
KW-2250 want backup dude
KW-2251 well done blue
KW-2252 where they're keeping
KW-2253 which has resulted
KW-2254 while because they're
KW-2255 while they aren't
KW-2256 whoever gets outside
KW-2257 whole kid's bedroom
KW-2258 why don't they
KW-2259 won't spread too
KW-2260 work fire fighter
KW-2261 work romeo five
KW-2262 worth taking care
KW-2263 yeah sounds good
KW-2264 yellow sounds good
KW-2265 yellow tank top
KW-2266 yikes youch papa
KW-2267 you're already carrying
KW-2268 you're very generous
KW-2269 young girl appears
KW-2270 young man probably
KW-2271 your rescue underway
KW-2272 almost seventy-five percent engulfed
KW-2273 alright good work blue
KW-2274 alright red firefighter moving
KW-2275 another potential victim potential
KW-2276 barack's brother ben obama
KW-2277 bedroom's pretty smoky too
KW-2278 boop boop boop boop
KW-2279 can't carry two people
KW-2280 can't support your weight
KW-2281 cat has been saved
KW-2282 dining room fully engulfed
KW-2283 dining room moving towards
KW-2284 doesn't seem too concerning
KW-2285 don't know if they're
KW-2286 door gets blown open
KW-2287 everybody keeps showing up
KW-2288 explosions which has resulted
KW-2289 false alarm false alarm
KW-2290 fire's spreading bravo five
KW-2291 fire's spreading bravo six
KW-2292 four five six seven
KW-2293 goes bravo eight romeo
KW-2294 good job green firefighter
KW-2295 good point good point
KW-2296 good work fire fighter
KW-2297 green fire fighter alright
KW-2298 huge conflagration truly spectacular
KW-2299 interesting how they keep
KW-2300 know low hanging fruit
KW-2301 last two action points
KW-2302 let's see bravo eight
KW-2303 let's see one two
KW-2304 little bit smoky making
KW-2305 living room dining room
KW-2306 living room living room
KW-2307 looking pretty bad isn't
KW-2308 looks like another explosion
KW-2309 master bath right next
KW-2310 master bedroom looks like
KW-2311 master bedroom master bath
KW-2312 master bedroom right next
KW-2313 michelle michelle's sister molly
KW-2314 michelle's sister molly obama
KW-2315 never mind never mind
KW-2316 new blaze pop up
KW-2317 one action point banked
KW-2318 one remaining action point
KW-2319 our e m ts
KW-2320 peace good piano player
KW-2321 place another potential victim
KW-2322 possible situation coming up
KW-2323 potential victim potential victim
KW-2324 quick boom boom gone
KW-2325 raises interesting questions about
KW-2326 really quick boom boom
KW-2327 red fire fighter attempting
KW-2328 repeat chief how much
KW-2329 romeo five looks like
KW-2330 romeo four looks like
KW-2331 room's looking pretty bad
KW-2332 sally field's sister judy
KW-2333 seven romeo five seven
KW-2334 sign finding fire sign
KW-2335 small bathroom right next
KW-2336 small bathroom two three
KW-2337 small bedroom small bathroom
KW-2338 somebody very very close
KW-2339 spreads bravo eight romeo
KW-2340 take another step closer
KW-2341 they keep popping up
KW-2342 they're keeping their meth
KW-2343 they're looking they're looking
KW-2344 three four five six
KW-2345 two action points left
KW-2346 using another action point
KW-2347 walls collapsing all around
KW-2348 work fire fighter red
KW-2349 would rescue her because
KW-2350 yellow sounds good yellow
